Date,precip,Sea_Level_Anomaly,temp,humidity,windspeed,Flood
2005-10-27,16.535827,1.287493,26.184762,93.684215,24.517362,2
2015-11-08,9.874261,1.154862,27.638471,90.473829,19.285641,1
2015-11-13,13.392174,1.206384,26.817452,92.941683,18.547392,2
2015-12-01,11.263948,1.321847,25.438516,94.628471,22.361948,2
2016-11-15,6.418273,1.103947,28.274915,88.735194,16.874261,1
2017-10-29,1.284739,0.892736,30.148927,79.638517,12.394817,0
2018-11-11,5.947263,1.082746,28.617493,87.936251,15.284617,1
2019-12-02,3.684719,1.014839,29.417638,84.297516,14.517384,1
2020-11-24,6.417583,1.095284,28.214683,90.173849,61.847263,1
2020-12-04,2.174628,0.987361,29.684715,82.497361,13.284916,0
2021-01-15,0.118472,0.784916,30.514827,66.294715,11.873648,0
2021-11-06,8.517263,1.143829,27.914628,89.738461,17.517384,1
2021-12-01,4.836194,1.062847,28.836174,86.517294,15.284617,1
2022-10-18,1.394628,0.873619,30.684917,78.173846,12.617384,0
2022-11-09,7.184639,1.126395,28.214639,88.617495,16.394827,1
2022-12-12,2.684716,0.964728,29.714628,83.294617,13.847261,0
2023-10-21,1.008364,0.851947,30.247163,80.183649,12.517384,0
2023-12-05,13.782615,1.412684,26.173948,93.827461,60.284917,2
2023-12-06,9.684716,1.287394,26.517284,91.617384,41.738492,2
2024-10-23,3.947261,1.017384,29.417263,84.628517,14.294836,0
2024-11-07,6.274839,1.104628,28.517294,87.394827,15.847261,1
2024-12-03,4.817263,1.062947,28.836417,86.517394,15.284716,1
2004-11-03,12.617284,1.247638,26.714839,92.517384,21.684917,2
2008-10-16,2.174638,0.964827,29.684716,83.294617,13.847261,0
2010-11-07,5.847263,1.083947,28.617394,87.936251,15.284617,1
2011-12-01,1.394827,0.892716,30.147263,79.638517,12.394817,0
2012-11-10,7.284639,1.126495,28.214639,88.617495,16.394827,1
2013-12-15,0.684917,0.817394,30.847261,71.394716,11.284639,0
2014-10-10,0.517284,0.864917,31.714628,74.836194,11.947261,0
2025-08-30,4.183947,1.052684,27.517394,89.173846,15.284716,1
