Date,precip,River_Level,temp,humidity,windspeed,Flood
2025-05-24,0.41287,85.21463,31.48273,61.28431,5.91264,0
2025-05-25,0.68452,85.30281,31.02841,63.91728,6.13852,0
2025-05-26,1.24863,85.48726,30.61429,66.49215,6.42197,0
2025-05-27,2.91476,85.81247,29.94285,69.81524,6.98413,1
2025-05-28,3.68291,86.03892,29.51472,72.34871,7.21684,1
2025-05-29,1.12438,85.92153,29.87164,70.91248,6.84192,0
2025-05-30,0.52814,85.61472,30.21486,68.34715,6.30284,0
2025-06-01,7.87392,86.74218,24.13852,88.21473,7.18462,1
2025-06-02,6.21475,86.58194,24.38471,87.49236,7.12485,1
2025-06-03,2.18364,86.21473,25.18264,82.71549,6.74831,0
2025-06-04,1.02485,85.98246,25.61482,79.48261,6.38127,0
2025-06-05,0.64219,85.73184,26.01358,77.12486,6.09274,0
2025-07-20,1.21854,85.64281,29.12474,75.21483,6.10236,0
2025-07-21,2.94621,85.91463,28.92341,77.81236,6.39218,0
2025-07-22,5.17834,86.38271,28.01562,80.34974,7.01246,1
2025-07-23,7.48351,86.91248,27.41826,82.61497,7.49318,1
2025-07-24,4.81296,86.54831,27.91584,81.92834,7.21586,1
2025-08-01,0.89064,85.82461,28.41792,78.12341,6.02184,0
2025-08-02,2.34147,86.21497,27.84306,81.52946,6.59231,1
2025-08-03,6.25984,87.18264,26.21473,88.10236,7.39182,2
2025-08-04,3.62268,86.74215,26.75491,85.34761,7.02469,1
2025-08-05,1.51429,86.31847,27.24906,83.95624,6.80214,1
2025-09-12,6.25981,86.71492,27.02314,82.65893,7.01284,1
2025-09-13,6.93704,87.12463,26.51748,84.19236,7.21457,1
2025-09-14,7.28356,87.84219,25.93471,89.45684,8.13058,2
2025-09-15,4.92186,87.31264,26.21794,85.73214,7.30192,1
2025-09-16,1.37894,86.51238,26.84729,82.34906,6.71486,0
2025-10-05,13.78125,88.21473,25.73294,92.13478,9.12846,2
2025-10-06,11.73284,87.91462,26.01852,90.82136,8.92137,2
