Date,precip,River_Level,Sea_Level_Anomaly,temp,humidity,windspeed,Flood
2005-07-26,37.176000,5.482913,0.478912,28.347000,95.331000,24.915000,2
2005-07-27,3.455000,4.112408,0.312408,27.912000,93.270000,22.102000,1
2017-08-29,18.425000,5.031807,0.406307,27.542000,92.803000,23.487000,2
2017-08-30,4.692000,4.289210,0.365210,27.874000,91.412000,21.885000,1
2019-07-02,14.768000,4.684540,0.398540,28.199000,94.120000,22.730000,1
2019-07-03,0.147000,2.783630,0.295630,29.101000,88.200000,17.422000,0
2018-08-04,8.514000,4.203411,0.387411,27.800000,90.321000,20.008000,1
2018-08-05,2.018000,3.041701,0.305701,28.243000,89.541000,18.227000,0
2020-08-04,10.585000,4.521805,0.421805,27.401000,91.632000,22.991000,1
2020-08-05,3.548000,3.384210,0.338210,27.939000,90.580000,20.552000,0
2021-09-10,5.312000,3.701129,0.350129,28.105000,89.910000,19.875000,0
2021-09-11,12.416000,4.472307,0.399307,27.923000,91.402000,21.653000,1
2021-09-12,3.902000,3.315421,0.327421,28.487000,89.807000,20.102000,0
2022-08-24,9.344000,4.331221,0.410221,28.214000,91.100000,21.489000,1
2022-08-25,1.154000,2.964531,0.298531,28.689000,89.467000,19.844000,0
2023-09-15,6.813000,3.861501,0.363501,28.441000,90.244000,20.376000,0
2023-09-16,2.162000,3.007102,0.307102,29.023000,88.900000,18.995000,0
2024-07-10,4.429000,3.912120,0.396120,28.302000,90.987000,21.528000,1
2024-07-11,9.128000,4.487502,0.403502,27.945000,92.110000,22.601000,1
2024-07-12,1.566000,2.998840,0.310840,28.745000,89.305000,19.336000,0
2025-06-16,6.351000,3.881642,0.389642,28.400000,90.915000,20.733000,1
2025-06-17,0.635000,2.841400,0.312400,29.012000,88.507000,18.915000,0
2025-08-19,12.464000,4.601970,0.421970,27.522000,92.011000,23.104000,1
2025-08-20,7.112000,4.094315,0.389315,27.848000,90.245000,21.478000,1
2025-08-21,0.869000,2.901491,0.302491,28.699000,89.110000,19.375000,0
2025-09-27,18.756000,5.112215,0.422215,27.218000,93.012000,23.650000,2
2025-09-28,18.756000,5.169641,0.429641,27.312000,93.452000,23.102000,2
2025-09-29,15.728000,4.801987,0.401987,27.599000,92.873000,22.396000,2
2025-10-01,3.217000,3.182421,0.312421,29.203000,89.899000,20.123000,0
